isbn13,isbn10,title,authors,categories,description,thumbnail,average_rating,num_pages,cleaned_description
9780002005883,0002005883,Gilead,Marilynne Robinson,Fiction,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,247.0,novel reader critic eagerly anticipating decade gilead astonishingly imagined story remarkable life john ames preacher son preacher grandson maternal paternal preacher gilead iowa towards end reverend amess life absorbed recording family story legacy young son never see grow haunted grandfather presence john tell rift grandfather father elder angry visionary fought abolitionist cause son ardent pacifist troubled prodigal namesake jack john ames boughton best friend lost son return gilead searching forgiveness redemption told john amess joyous rambling voice find beauty humour truth smallest life detail gilead song celebration acceptance best worst world offer heart tale sacred bond father son pitchperfect style story set dazzle critic reader alike
9780002261982,0002261987,Spider's Web,Charles Osborne;Agatha Christie,Fiction,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83,241.0,new christie christmas fulllength novel adapted acclaimed play charles osborne following black coffee unexpected guest come final agatha christie play novelisation bringing superb storytelling new legion fan clarissa wife foreign office diplomat given daydreaming supposing come one morning find dead body library mus clarissa chance find discovers body drawingroom house kent desperate dispose body husband come home important foreign politician clarissa persuades three house guest become accessory accomplice seems murdered man unknown certain member house party one search begin murderer motive time trying persuade police inspector murder spider web written specifically margaret lockwood opened first theatre royal nottingham moving savoy theatre london december mousetrap wi
9780006163831,0006163831,The One Tree,Stephen R. Donaldson,Fiction,Volume Two of Stephen Donaldson's acclaimed second trilogy featuing the compelling anti-hero Thomas Covenant.,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97,479.0,volume two stephen donaldsons acclaimed second trilogy featuing compelling antihero thomas covenant
9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93,512.0,memorable mesmerizing heroine jennifer brilliant beautiful attorney way mafia scheme win hatred implacable enemy love destructive hate dangerous dramatic world dark arena organized crime flashbulb lit courtroom ambitious prosecutor begin climb political power
9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Religion,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,170.0,lewis work nature love divide love four category affection friendship eros charity first three come naturally humanity charity however giftlove god divine without supernatural love natural love become distorted even dangerous
9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Religion,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09,176.0,problem pain c lewis one renowned christian author thinker examines universally applicable question within human condition god good allpowerful allow creature suffer pain signature wealth compassion insight c lewis offer answer crucial question share hope wisdom help heal world hungering true understanding human natureamazon
9780006380832,0006380832,Empires of the Monsoon,Richard Hall,History,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.41,608.0,vasco da gama discovered searoute east almost nothing known west exotic culture wealth indian ocean people civilization destruction hand west richard hall recreates book hall history exploration exploitation chinese arab traveller portuguese dutch british alike one brutality betrayal colonial ambition
9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,Fiction,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,743.0,newcover reissue fourth book bestselling fivevolume sf series created worldfamous author thomas covenant chronicle acclaimed best work career event moving amnion intended human false dealing alien planetoid thanatos minor exploded atom trumpet hurtled space one step ahead hostile pursuer board morn hyland forcegrown son davy cyborg angus thermopyle captain nick succorso old enemy thrown together desperate bid survival amnion umcp immediate capture fleeing ship secret contained imperative trumpet exhausted crew hope lay illegal lab distant binary solar system valdor industrial would journey unpredictable danger would return
9780006472612,0006472613,Master of the Game,Sidney Sheldon,Fiction,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.11,489.0,kate blackwell enigma one powerful woman world ninetieth birthday celebration ghost absent friend absent enemy
9780006479673,0006479677,If Tomorrow Comes,Sidney Sheldon,Fiction,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,501.0,one sidney sheldons popular bestselling title repackaged reissued new generation fan
